;Scopy version,f4beeb1
;Exported on,Freitag August 30/08/2024
;Device,M2K
;Nr of samples,1600
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
344,-0.00116,-3.57398,-0.059357
345,-0.00115,-3.55728,-0.059357
346,-0.00114,-3.54057,-0.0760607
347,-0.00113,-3.52387,-0.0760607
348,-0.00112,-3.52387,-0.0760607
349,-0.00111,-3.50717,-0.0760607
350,-0.0011,-3.49046,-0.0760607
351,-0.00109,-3.45705,-0.059357
352,-0.00108,-3.44035,-0.059357
353,-0.00107,-3.44035,-0.0760607
354,-0.00106,-3.42365,-0.059357
355,-0.00105,-3.39024,-0.059357
356,-0.00104,-3.37354,-0.0760607
357,-0.00103,-3.34013,-0.0760607
358,-0.00102,-3.34013,-0.0760607
359,-0.00101,-3.32342,-0.0760607
360,-0.001,-3.30672,-0.0760607
361,-0.00099,-3.29002,-0.0760607
362,-0.00098,-3.29002,-0.0760607
363,-0.00097,-3.27331,-0.0426533
364,-0.00096,-3.23991,-0.0760607
365,-0.00095,-3.2232,-0.059357
366,-0.00094,-3.2232,-0.059357
367,-0.00093,-3.2065,-0.0760607
368,-0.00092,-3.17309,-0.059357
369,-0.00091,-3.15639,-0.059357
370,-0.0009,-3.13968,-0.059357
371,-0.00089,-3.12298,-0.059357
372,-0.00088,-3.10628,-0.059357
373,-0.00087,-3.07287,-0.059357
374,-0.00086,-3.07287,-0.059357
375,-0.00085,-3.05616,-0.059357
376,-0.00084,-3.03946,-0.059357
377,-0.00083,-3.02276,-0.059357
378,-0.00082,-3.02276,-0.0760607
379,-0.00081,-2.98935,-0.059357
380,-0.0008,-2.97265,-0.059357
381,-0.00079,-2.97265,-0.059357
382,-0.00078,-2.93924,-0.059357
383,-0.00077,-2.92254,-0.059357
384,-0.00076,-2.90583,-0.059357
385,-0.00075,-2.87242,-0.059357
386,-0.00074,-2.87242,-0.0760607
387,-0.00073,-2.85572,-0.0760607
388,-0.00072,-2.85572,-0.0760607
389,-0.00071,-2.83902,-0.0760607
390,-0.0007,-2.82231,-0.0760607
391,-0.00069,-2.80561,-0.059357
392,-0.00068,-2.78891,-0.059357
393,-0.00067,-2.7555,-0.059357
394,-0.00066,-2.7555,-0.059357
395,-0.00065,-2.72209,-0.059357
396,-0.00064,-2.70539,-0.059357
397,-0.00063,-2.68868,-0.059357
398,-0.00062,-2.65528,-0.059357
399,-0.00061,-2.65528,-0.059357
400,-0.0006,-2.63857,-0.059357
401,-0.00059,-2.62187,-0.059357
402,-0.00058,-2.62187,-0.0760607
403,-0.00057,-2.60516,-0.059357
404,-0.00056,-2.58846,-0.0927645
405,-0.00055,-2.57176,-0.0426533
406,-0.00054,-2.55505,-0.0760607
407,-0.00053,-2.53835,-0.059357
408,-0.00052,-2.52165,-0.059357
409,-0.00051,-2.47153,-0.0760607
410,-0.0005,-2.47153,-0.059357
411,-0.00049,-2.45483,-0.059357
412,-0.00048,-2.43813,-0.059357
413,-0.00047,-2.42142,-0.059357
414,-0.00046,-2.42142,-0.059357
415,-0.00045,-2.40472,-0.059357
416,-0.00044,-2.38802,-0.059357
417,-0.00043,-2.35461,-0.0760607
418,-0.00042,-2.35461,-0.0760607
419,-0.00041,-2.3379,-0.059357
420,-0.0004,-2.3212,-0.059357
421,-0.00039,-2.3045,-0.059357
422,-0.00038,-2.27109,-0.059357
423,-0.00037,-2.25439,-0.059357
424,-0.00036,-2.23768,-0.059357
425,-0.00035,-2.23768,-0.059357
426,-0.00034,-2.22098,-0.059357
427,-0.00033,-2.20428,-0.059357
428,-0.00032,-2.18757,-0.059357
429,-0.00031,-2.17087,-0.059357
430,-0.0003,-2.13746,-0.059357
431,-0.00029,-2.13746,-0.0760607
432,-0.00028,-2.12076,-0.0760607
433,-0.00027,-2.10405,-0.0760607
434,-0.00026,-2.10405,-0.0760607
435,-0.00025,-2.08735,-0.059357
436,-0.00024,-2.07065,-0.059357
437,-0.00023,-2.03724,-0.059357
438,-0.00022,-2.02053,-0.059357
439,-0.00021,-2.00383,-0.059357
440,-0.0002,-1.97042,-0.059357
441,-0.00019,-1.97042,-0.059357
442,-0.00018,-1.95372,-0.059357
443,-0.00017,-1.93702,-0.059357
444,-0.00016,-1.93702,-0.059357
445,-0.00015,-1.92031,-0.0760607
